2025-12-27T10:57:39.076003874Z [inf]  ✅ [app.js] connect-session-sequelize loaded
2025-12-27T10:57:39.076008139Z [inf]  ✅ [app.js] dotenv configured
2025-12-27T10:57:39.076012681Z [inf]  🛠️ [app.js] About to load models...
2025-12-27T10:57:39.076017619Z [inf]  ✅ Sequelize initialized for production environment
2025-12-27T10:57:39.076021989Z [inf]  📍 Database: railway at mysql.railway.internal:3306
2025-12-27T10:57:39.079610551Z [inf]  🛠️ [app.js] About to load middleware...
2025-12-27T10:57:39.079682756Z [inf]  ✅ [app.js] models loaded
2025-12-27T10:57:39.119699481Z [inf]  ✅ [app.js] logger loaded
2025-12-27T10:57:39.119706756Z [inf]  ✅ [app.js] errorHandler loaded
2025-12-27T10:57:39.222881308Z [err]      at Module.load (node:internal/modules/cjs/loader:1318:32)
2025-12-27T10:57:39.222881376Z [inf]  ✅ [app.js] requestValidator loaded
2025-12-27T10:57:39.222896159Z [inf]  🛠️ [app.js] About to load routes...
2025-12-27T10:57:39.222901118Z [err]      at Function._load (node:internal/modules/cjs/loader:1128:12)
2025-12-27T10:57:39.222903512Z [inf]  ✅ [movieRoutes.js] Router created
2025-12-27T10:57:39.222912616Z [inf]  🔧 [movieRoutes.js] File loading started...
2025-12-27T10:57:39.222916478Z [err]      at TracingChannel.traceSync (node:diagnostics_channel:315:14)
2025-12-27T10:57:39.222923030Z [inf]  🎉 [movieRoutes.js] ALL IMPORTS SUCCESSFUL!
2025-12-27T10:57:39.222923342Z [inf]  ✅ [movieRoutes.js] express loaded
2025-12-27T10:57:39.222932532Z [inf]  ✅ [movieRoutes.js] movieController loaded
2025-12-27T10:57:39.222934998Z [err]  ❌ [app.js] FAILED to load movieRoutes: Schema does not contain path page
2025-12-27T10:57:39.222942990Z [inf]  ✅ [movieRoutes.js] requestValidator loaded
2025-12-27T10:57:39.222946037Z [err]  Stack: Error: Schema does not contain path page
2025-12-27T10:57:39.222954899Z [inf]  ✅ [movieRoutes.js] errorHandler loaded
2025-12-27T10:57:39.222956440Z [err]      at new module.exports (/app/node_modules/@hapi/hoek/lib/error.js:23:19)
2025-12-27T10:57:39.222967767Z [err]      at module.exports (/app/node_modules/@hapi/hoek/lib/assert.js:21:11)
2025-12-27T10:57:39.222975730Z [err]      at exports.Ids.internals.Ids.reach (/app/node_modules/joi/lib/modify.js:85:9)
2025-12-27T10:57:39.222982442Z [err]      at internals.Base.extract (/app/node_modules/joi/lib/base.js:457:26)
2025-12-27T10:57:39.222989686Z [err]      at Object.<anonymous> (/app/src/routes/movieRoutes.js:58:39)
2025-12-27T10:57:39.222997775Z [err]      at Module._compile (node:internal/modules/cjs/loader:1546:14)
2025-12-27T10:57:39.223005383Z [err]      at Object..js (node:internal/modules/cjs/loader:1689:10)
2025-12-27T10:57:39.225005722Z [err]  ❌ UNCAUGHT EXCEPTION:
2025-12-27T10:57:39.225006783Z [err]      at Module.load (node:internal/modules/cjs/loader:1318:32)
2025-12-27T10:57:39.225015538Z [err]  Name: Error
2025-12-27T10:57:39.225019756Z [err]      at Function._load (node:internal/modules/cjs/loader:1128:12)
2025-12-27T10:57:39.225023386Z [err]  Message: Schema does not contain path page
2025-12-27T10:57:39.225027487Z [err]      at TracingChannel.traceSync (node:diagnostics_channel:315:14)
2025-12-27T10:57:39.225033835Z [err]  Stack: Error: Schema does not contain path page
2025-12-27T10:57:39.225038706Z [err]      at new module.exports (/app/node_modules/@hapi/hoek/lib/error.js:23:19)
2025-12-27T10:57:39.225049013Z [err]      at module.exports (/app/node_modules/@hapi/hoek/lib/assert.js:21:11)
2025-12-27T10:57:39.225053363Z [err]      at exports.Ids.internals.Ids.reach (/app/node_modules/joi/lib/modify.js:85:9)
2025-12-27T10:57:39.225058830Z [err]      at internals.Base.extract (/app/node_modules/joi/lib/base.js:457:26)
2025-12-27T10:57:39.225063427Z [err]      at Object.<anonymous> (/app/src/routes/movieRoutes.js:58:39)
2025-12-27T10:57:39.225068061Z [err]      at Module._compile (node:internal/modules/cjs/loader:1546:14)
2025-12-27T10:57:39.225075917Z [err]      at Object..js (node:internal/modules/cjs/loader:1689:10)
2025-12-27T10:57:40.194578372Z [inf]  🔧 [app.js] File loading started...
2025-12-27T10:57:40.293661128Z [inf]  ✅ [app.js] express loaded
